,New 1 SNR/dB,New 2 SNR/dB,New 3 SNR/dB,ROI,Layer
0,21.59549804534918,18.87060708540473,20.750024099471347,ROI_0,Layer_0
1,20.284096719833776,18.231352761844263,13.252779491001071,ROI_1,Layer_0
2,18.01023189891446,16.754345055188434,10.362636107112476,ROI_2,Layer_0
3,16.549426802050267,15.936844819532592,9.299546208302209,ROI_3,Layer_0
4,21.399873184644527,16.86936573298547,21.087219062717256,ROI_4,Layer_0
5,15.794802346227454,14.67195270099577,18.861618153514815,ROI_0,Layer_1
6,12.682602391273415,13.261635511974934,16.389419369147664,ROI_1,Layer_1
7,11.649971069554235,13.588519281998074,12.016357230752908,ROI_2,Layer_1
8,21.86620518130872,15.640843472941402,21.262563644550106,ROI_3,Layer_1
9,20.809086495582555,12.713599986770266,21.050768135226356,ROI_4,Layer_1
10,15.55576089160143,11.310818984374142,19.16960901672146,ROI_0,Layer_2
11,12.05105708237533,10.828523751484681,16.49840637704836,ROI_1,Layer_2
12,20.95226419518314,14.157723175359113,19.842744599847475,ROI_2,Layer_2
13,12.981020873996234,10.637569623647591,15.914217197837484,ROI_3,Layer_2
14,10.50761325536377,9.443682419207292,13.70043292706896,ROI_4,Layer_2
15,8.95282695479367,9.273358767283225,12.899920413457814,ROI_0,Layer_3
16,21.40944261628137,11.755415481050939,18.686070375064926,ROI_1,Layer_3
17,12.837426185834723,8.213174924878196,14.001368106893459,ROI_2,Layer_3
18,9.045902108585938,7.327495584458184,11.91173456999257,ROI_3,Layer_3
19,7.900130501699722,7.3847162882384385,10.94007602905483,ROI_4,Layer_3
